"HOOD_ID","AREA_NAME","ASSAULT_RATE_2023","AUTOTHEFT_RATE_2023","BREAKENTER_RATE_2023","ROBBERY_RATE_2023","THEFTOVER_RATE_2023","Green.Spaces","TOTAL_CRIMES"
1,"West Humber-Clairville",884.9071045,2278.223633,582.6096802,211.6082153,219.8526917,2.078835532,4177.2013247
2,"Mount Olive-Silverstone-Jamestown",839.3150024,429.5484009,67.82343292,152.6027222,31.08574104,1.048870056,1520.37529946
3,"Thistletown-Beaumond Heights",626.7806396,455.8404541,218.4235535,123.4567871,132.9534607,0.939107957,1557.454895
4,"Rexdale-Kipling",708.822998,690.1697388,149.2258911,223.8388367,37.30647278,0.240663012,1809.36393738
5,"Elms-Old Rexdale",617.1590576,404.694458,161.8777771,141.6430664,40.46944427,0.730089694,1365.84380337
6,"Kingsview Village-The Westway",663.4738159,492.1130066,175.7546539,101.0589218,35.1509285,0.310186768,1467.5513267
7,"Willowridge-Martingrove-Richview",510.4369812,435.7388916,128.6467133,70.54820251,12.44968224,0.348688375,1157.82047085
8,"Humber Heights-Westmount",464.993866,219.336731,114.0550995,52.64081573,17.54693794,0.431646057,868.57345017
9,"Edenbridge-Humber Valley",306.8728027,665.8560791,364.7733154,40.5303688,28.95026398,0.544804291,1406.98282998
10,"Princess-Rosethorn",199.1714478,916.1886597,501.9120483,95.60229492,39.83428955,0.220794818,1752.70874027
11,"Eringate-Centennial-West Deane",460.1697388,613.5596924,158.5029144,66.46896362,15.33899212,2.891261519,1314.04030134
12,"Markland Wood",418.9554138,465.506012,139.6517944,37.24047852,9.310119629,0.224255343,1070.663818349
13,"Etobicoke West Mall",519.1536255,487.6897583,94.39157104,7.865963936,39.32981873,0.147624711,1148.430737506
15,"Kingsway South",633.713562,857.9506836,536.2191772,77.99551392,58.49663544,0.295550892,2164.37557216
16,"Stonegate-Queensway",512.571106,553.7264404,377.8808594,67.34510803,41.1553421,0.755267148,1552.67885593
18,"New Toronto",1376.485107,311.3478088,311.3478088,131.093811,40.96681595,0.593630152,2171.24135155
19,"Long Branch",827.5148926,318.9380188,232.7385559,60.33962631,17.23989296,0.323676887,1456.77098657
20,"Alderwood",325.8535156,355.4765625,148.1152344,59.24609375,59.24609375,0.292452196,947.9375
21,"Humber Summit",1229.050293,975.7914429,670.3910522,186.2197418,312.8491516,0.686271868,3374.3016815
22,"Humbermede",959.6813354,736.3592529,175.0362091,84.50024414,66.39304352,0.918793036,2021.97008506
23,"Pelmo Park-Humberlea",858.0150146,833.2645874,189.7533264,107.2518768,49.50086594,0.636607684,2037.78567114
24,"Black Creek",1002.299622,360.1336365,125.8298264,121.4908676,56.40647507,0.410027147,1666.16042757
25,"Glenfield-Jane Heights",1013.922058,368.9808044,133.3291931,96.12104797,83.71833801,0.808033611,1696.07144148
27,"York University Heights",1368.030273,879.6869507,729.170166,354.5506287,133.7926941,0.887333748,3465.2307125
28,"Rustic",855.4401855,326.7973938,182.6220703,19.22337532,19.22337532,0.19744749,1403.30640024
29,"Maple Leaf",472.8132324,463.3569641,160.7565002,47.28132248,9.456264496,0.167833165,1153.664283676
30,"Brookhaven-Amesbury",885.9003296,394.9194031,208.1332092,160.1024628,48.03073883,0.405956959,1697.08614353
31,"Yorkdale-Glen Park",1199.443726,1153.088379,892.3397827,428.7866516,254.9542236,0.236609421,3928.6127629
32,"Englemount-Lawrence",510.9339905,277.9480896,200.2861176,69.4870224,28.61230278,0.20662549,1087.26752288
33,"Clanton Park",701.9749756,806.7473145,356.2261047,83.81790924,57.62480927,0.097684055,2006.39111331
34,"Bathurst Manor",509.9971008,440.4520569,243.4077148,92.72674561,23.1816864,1.311810051,1309.76530451
35,"Westminster-Branson",428.9524841,306.3946228,104.5346375,14.41857147,25.23250008,0.958620906,879.53281595
36,"Newtonbrook West",761.4696655,814.772522,197.9821014,114.2204437,53.30287552,0.16749045,1941.74760812
37,"Willowdale West",588.3556519,301.8520508,204.6454468,194.4131775,56.27750015,0.145828928,1345.54382715
38,"Lansing-Westgate",497.9856873,632.2739258,324.5299988,134.288269,44.76275635,0.983552249,1633.84063725
39,"Bedford Park-Nortown",203.2599792,895.1256714,476.8791809,46.906147,50.81499481,0.091683395,1672.98597331
40,"St.Andrew-Windfields",287.0576477,673.100708,445.4342957,74.23905182,59.39123917,0.541326375,1539.22294239
41,"Bridle Path-Sunnybrook-York Mills",448.3048401,747.1747437,896.6096802,28.01905251,74.71747589,1.732820954,2194.8257924
42,"Banbury-Don Mills",425.1618652,483.1384583,318.8713989,77.30215454,45.09292221,1.279334149,1349.56679915
43,"Victoria Village",785.2839966,290.4475098,139.8450928,86.05851746,59.16523361,0.682855326,1360.80035027
44,"Flemingdon Park",711.0921631,166.063446,102.1928864,55.35448074,21.29018593,0.763803897,1055.99316217
46,"Pleasant View",310.7817383,268.9457397,101.6017227,83.6720047,29.88285828,0.155828919,794.88406368
47,"Don Valley Village",564.1652832,547.1723633,152.9363708,101.9575882,47.58020782,0.2393423,1413.81181332
48,"Hillcrest Village",376.1894226,403.8504028,221.2879028,71.91856384,44.2575798,0.386535486,1117.50387184
49,"Bayview Woods-Steeles",439.8504639,249.2485962,197.9327087,51.31588745,7.330841064,0.910849666,945.678497314
50,"Newtonbrook East",501.7879944,432.5758362,207.6363983,115.3535614,86.51516724,0.180901122,1343.86895754
52,"Bayview Village",533.3852539,373.7590027,256.9593201,35.03990555,70.0798111,1.121266472,1269.22329335
53,"Henry Farm",469.6690369,294.0918274,109.7357559,57.06259155,43.89430237,0.212016651,974.45351412
54,"O'Connor-Parkview",668.3081055,306.5172729,221.0944214,15.07461929,30.14923859,1.071735422,1241.14365768
55,"Thorncliffe Park",568.6867065,244.3575592,217.7003784,53.31437683,35.54291916,0.596240135,1119.60194009
56,"Leaside-Bennington",208.9634247,615.8922119,269.4528503,27.49518776,49.49134064,0.797010748,1171.2950153
57,"Broadview North",663.9344482,139.3442688,180.3278656,24.59016418,24.59016418,0.399753886,1032.78691096
58,"Old East York",660.3773804,335.4297791,73.3752594,62.89308167,10.4821806,0.293560692,1142.55768117
59,"Danforth East York",570.3740845,285.1870422,67.10283661,22.36761093,22.36761093,0.070298427,967.39918517
60,"Woodbine-Lumsden",393.072113,196.5360565,147.4020386,NA,49.13401413,0.098423722,0
61,"Taylor-Massey",891.2545776,173.2994995,111.4068222,173.2994995,18.56780434,0.198037905,1367.82820314
62,"East End-Danforth",947.3729858,217.287384,191.2128906,73.87770844,30.42023468,0.126726419,1460.17120352
63,"The Beaches",489.2410278,251.1148682,168.8531036,69.27306366,69.27306366,0.614909147,1047.75512692
64,"Woodbine Corridor",767.956604,240.9275665,188.2246704,52.70290756,22.58695984,0.104449371,1272.3987083
65,"Greenwood-Coxwell",824.675354,188.3116913,149.350647,45.45454407,19.48052025,0.087044064,1227.27275662
66,"Danforth",1297.552368,245.7485504,226.0886688,206.4287872,49.14971161,0.001837121,2024.96808601
